timestamp,gdp_quart,gdp_quart_growth,cpi,ppi,gdp_deflator,balance_trade,balance_trade_growth,us/eur_rub,brent,net_capital_export,gdp_annual,gdp_annual_growth,average_provision_of_build_contract,average_provision_of_build_contract_moscow,rts,micex,micex_rgbi_tr,micex_cbi_tr,deposits_growth,deposits_rate,mortgage_value,mortgage_growth,mortgage_rate,grp,grp_growth,income_per_cap,real_dispos_income_per_cap_growth,salary,salary_growth,retail_trade_turnover_growth,unemployment,employment,invest_fixed_capital_per_cap,profitable_enterpr_share,share_own_revenues,overdue_wages_per_cap,fin_res_per_cap,marriages_per_1000_cap,divorce_rate,construction_value,invest_fixed_assets_phys,pop_tural_increase,pop_migration,pop_total_inc,childbirth,mortality,housing_fund_sqm,lodging_sqm_per_cap,water_pipes_share,gas_share,electric_stove_share,average_life_exp,infant_mortarity_per_1000_cap,perital_mort_per_1000_cap,incidence_population,rent_price_4.room_bus,rent_price_3room_bus,rent_price_2room_bus,rent_price_1room_bus,rent_price_3room_eco,rent_price_2room_eco,rent_price_1room_eco,load_of_teachers_preschool_per_teacher,child_on_acc_pre_school,load_of_teachers_school_per_teacher,students_state_oneshift,provision_doctors,provision_nurse,load_on_doctors,power_clinics,hospital_beds_available_per_cap,hospital_bed_occupancy_per_year,theaters_viewers_per_1000_cap,seats_theather_rfmin_per_100000_cap,museum_visitis_per_100_cap,bandwidth_sports,population_reg_sports_share,students_reg_sports_share,apartment_build,apartment_fund_sqm
40189,9995.8,5.2,317.7,337.2,133.16,16.041,7.2,29.327,80.97,-0.476216216,38807.2,-0.078208582,5,7.83,1553.06,1444.78,130.32,193.56,0.018041916,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,136.11,78.14,59.54,43.22,40.75,0.1,31.64,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40190,9995.8,3.8,319.8,337.2,133.16,14.695,27.9,29.5095,79.3,-0.476216216,38807.2,-0.078208582,5,7.83,1535.78,1427.67,129.02,194.05,0.030734708,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,164.7,76.81,55.47,45.23,40.75,41.96,28.88,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40191,9995.8,3.8,319.8,337.2,133.16,15.777,18.6,29.5967,78.31,-0.476216216,38807.2,-0.078208582,5,7.83,1538.43,1435.01,129.68,172.88,0.022974424,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,136.11,78.14,61.94,43.22,40.75,41.96,29.36,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40192,9995.8,3.1,319.8,337.2,133.16,18.114,8.1,29.475,77.82,-0.476216216,38807.2,-0.078208582,5,7.71,1561.91,1455.65,128.88,173.43,0.009740346,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,100.08,82.27,55.47,47.32,41.76,0.1,32.9,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40193,10977,5.2,315.1,337.2,133.16,15.641,16.8,29.545,77.11,-0.476216216,38807.2,-0.078208582,5,7.83,1559.25,1452.67,129.87,173.55,0.012372569,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,137.93,78.14,61.94,43.22,40.75,0.1,28.92,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40194,9995.8,5,315.1,337.2,133.16,16.432,18.7,29.545,77.11,-0.476216216,38807.2,-0.078208582,5,7.83,1559.25,1452.67,129.87,173.55,0.019630597,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,139.43,78.14,61.94,43.22,40.75,0.1,33.06,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40195,9995.8,5,315.1,337.2,133.16,16.041,16.8,29.545,77.11,-0.476216216,38807.2,-0.078208582,5,7.83,1559.25,1452.67,129.87,173.55,0.022713277,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,136.02,78.14,61.94,43.22,40.75,0.1,29.76,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40196,10977,4.7,319.8,337.2,133.16,16.494,21.5,29.5909,77.1,-0.476216216,38807.2,-0.078208582,5,7.83,1581.09,1479.53,130.12,173.83,0.022421977,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,144.03,78.14,61.94,43.22,40.75,0.1,28.27,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40197,12086.5,5,315.1,337.2,133.16,15.654,27.9,29.606,77.63,-0.476216216,38807.2,-0.078208582,5,7.83,1580.67,1484.03,130.3,174.17,0.022974424,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,165.34,78.14,61.94,45.23,37.54,41.96,29.76,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40198,10977,5,317.7,337.2,133.16,16.54,7.2,29.7513,76.32,-0.476216216,38807.2,-0.078208582,5,7.83,1556.97,1461.23,131.02,174.67,0.019630597,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,144.03,78.14,61.94,46.24,40.75,0.1,30.48,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40199,9995.8,5,315.1,337.2,133.16,16.494,16.8,29.756,74.58,-0.476216216,38807.2,-0.078208582,5,7.83,1530.29,1435.9,131.17,174.85,0.018041916,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,139.43,78.14,61.94,45.23,40.75,0.1,29.36,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40200,9995.8,5,315.1,337.2,133.16,16.494,16.8,29.84,72.83,-0.476216216,38807.2,-0.078208582,5,7.83,1489.46,1410.38,131.03,174.72,0.02590044,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,139.43,78.14,61.94,45.23,40.75,41.96,31.11,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40201,10977,5,315.1,337.2,133.16,15.641,18.6,29.84,72.83,-0.476216216,38807.2,-0.078208582,5,7.71,1489.46,1410.38,131.03,174.72,0.001960396,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,136.02,78.14,61.94,45.23,40.75,0.1,30.69,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40202,9995.8,3.8,315.1,337.2,133.16,16.889,27.9,29.84,72.83,-0.476216216,38807.2,-0.078208582,5,7.71,1489.46,1410.38,131.03,174.72,0.030734708,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,135.25,78.14,62.89,45.23,40.75,38.11,27.94,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40203,9995.8,5,315.1,337.2,133.16,16.104,16.8,30.1172,73.69,-0.476216216,38807.2,-0.078208582,5,7.83,1485.92,1415.86,130.75,174.91,0.016930833,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,136.11,78.14,61.94,45.23,40.75,0.1,29.83,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40204,9995.8,4.1,315.1,337.2,133.16,16.65,18.6,30.3188,73.29,-0.476216216,38807.2,-0.078208582,5,7.83,1444.33,1384.79,130.93,174.67,0.030734708,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,139.43,78.14,61.94,45.23,40.75,41.96,29.07,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40205,9995.8,5.1,315.1,337.2,133.16,15.459,18.6,30.3078,72.24,-0.476216216,38807.2,-0.078208582,5,7.83,1446.36,1391.25,130.75,174.67,0.012372569,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,152.76,78.14,61.94,45.23,40.75,0.1,29.16,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40206,9995.8,5,319.8,337.2,133.16,16.604,7.6,30.3568,72.13,-0.476216216,38807.2,-0.078208582,5,7.83,1460.98,1406.55,131.22,174.93,0.02590044,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,100.08,78.14,61.94,46.24,40.75,0.1,29.83,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40207,10977,5.2,319.8,337.2,133.16,15.654,18.1,30.3482,71.46,-0.476216216,38807.2,-0.078208582,5,7.83,1473.81,1419.42,130.67,175,0.016930833,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,132.42,78.14,59.54,43.22,40.75,0.1,33.07,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40208,10977,5.2,315.1,337.2,133.16,16.041,16.8,30.3482,71.46,-0.476216216,38807.2,-0.078208582,5,7.83,1473.81,1419.42,130.67,175,-0.009002808,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,146.21,78.14,58.8,45.23,40.75,0.1,30.29,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40209,9995.8,5.2,317.7,337.2,133.16,16.704,27.9,30.3482,71.46,-0.476216216,38807.2,-0.078208582,5,7.83,1473.81,1419.42,130.67,175,0.016930833,12.33,142968,1.550458844,13.72,8375.8638,0.187790661,30789.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,144.03,78.14,61.94,45.23,40.75,41.96,28.27,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40210,9995.8,5,315.1,337.2,133.16,18.114,33.6,30.3324,73.11,-0.476216216,38807.2,-0.078208582,5,7.71,1470.79,1417,130.69,175,0.002353516,12.33,8016,1.550458844,13.93,8375.8638,0.187790661,42083.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,144.03,78.14,61.94,42.98,40.75,41.96,28.04,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40211,9995.8,5,315.1,337.2,133.16,18.114,33.6,30.115,76.06,-0.476216216,38807.2,-0.078208582,5,7.83,1498.75,1436.63,130.85,175.49,0.002353516,12.33,8016,1.550458844,13.93,8375.8638,0.187790661,42083.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,144.03,78.14,61.94,42.98,40.75,41.96,29.85,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40212,9995.8,5.1,315.1,337.2,133.16,18.114,33.6,29.995,75.92,-0.476216216,38807.2,-0.078208582,5,7.83,1507.15,1431.08,131.35,179.07,0.002353516,12.33,8016,1.550458844,13.93,8375.8638,0.187790661,42083.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,132.42,78.14,61.94,42.98,40.75,41.96,30.69,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40213,9995.8,5.1,315.1,337.2,133.16,18.114,33.6,30.4295,72.13,-0.476216216,38807.2,-0.078208582,5,7.83,1463.01,1395.87,131.07,183.62,0.002353516,12.33,8016,1.550458844,13.93,8375.8638,0.187790661,42083.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,144.03,78.14,61.94,45.23,40.75,41.96,32.23,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40214,9995.8,5,315.1,337.2,133.16,18.114,33.6,30.46,69.59,-0.476216216,38807.2,-0.078208582,5,7.83,1411.14,1355.64,131.07,183.62,0.002353516,12.33,8016,1.550458844,13.93,8375.8638,0.187790661,42083.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,100.08,78.14,55.47,42.98,40.75,41.96,29.78,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
40215,9995.8,5.1,315.1,337.2,133.16,18.114,33.6,30.46,69.59,-0.476216216,38807.2,-0.078208582,5,7.83,1411.14,1355.64,131.07,184.98,0.002353516,12.33,8016,1.550458844,13.93,8375.8638,0.187790661,42083.2,0.038,38410.5,0.136283954,106.8,0.018,0.69,63932,0.716,0.962915058,12865,233.3515293,8,3.9,553874.9,95.8,-0.3,14.1,13.8,10.7,11,216,18.71588251,99.9,44.4,55,74.2,6.1,5.87,696.6,144.03,78.14,55.47,42.98,40.75,41.96,28.76,721.4777653,5,1356.112607,85.5056,18,99.4,7872.848285,162.9,846,302,527,0.41,993,269768,22.37,63.03,22825,230310
